Year,Season,ID2,Latitude,Longitude,TopDepth,BottomDepth,BulkDensity,GravimetricWaterContent,VolumetricWaterContent,Notes
1999,Fall,3,46.77879099993472,-117.08667799999922,0.0,1,1.4100577667067484,0.08148285746574402,0.11489553602303132,
1999,Fall,3,46.77879099993472,-117.08667799999922,1.0,2,1.4387603334093544,0.12877683341503143,0.18527899977961151,
1999,Fall,3,46.77879099993472,-117.08667799999922,2.0,3,1.6193864789405759,0.13845476508140564,0.22421177451772206,
1999,Fall,3,46.77879099993472,-117.08667799999922,3.0,4,1.6400485580244677,0.14553774893283844,0.2386889752754287,
1999,Fall,3,46.77879099993472,-117.08667799999922,4.0,5,1.64,0.15358318388462067,0.2518764215707779,
1999,Fall,5,46.77866599993601,-117.08584199999686,0.0,1,1.3749277326504725,0.10247579216957092,0.1408968085792692,
1999,Fall,5,46.77866599993601,-117.08584199999686,1.0,2,1.3305880261003118,0.1113099455833435,0.14810768077907416,
1999,Fall,5,46.77866599993601,-117.08584199999686,2.0,3,1.3522161516046738,0.11144646257162094,0.1506997067285516,
1999,Fall,5,46.77866599993601,-117.08584199999686,3.0,4,1.4994731668045351,0.14642329514026642,0.21955780205793038,
1999,Fall,5,46.77866599993601,-117.08584199999686,4.0,5,1.5315621526449732,0.1696983128786087,0.2599035133725821,
1999,Fall,7,46.77863199993578,-117.08500599999628,0.0,1,1.4429653954494086,0.08893579989671707,0.12833128166757582,
1999,Fall,7,46.77863199993578,-117.08500599999628,1.0,2,1.2767874077873471,0.1030450314283371,0.13156659856275224,
1999,Fall,7,46.77863199993578,-117.08500599999628,2.0,3,1.4005332996664317,0.10891792923212051,0.15254318682029663,
1999,Fall,7,46.77863199993578,-117.08500599999628,3.0,4,1.4847092805521311,0.12097402662038803,0.17961126002905067,
1999,Fall,7,46.77863199993578,-117.08500599999628,4.0,5,1.4993807489987243,0.14262452721595764,0.2138484704426515,
1999,Fall,9,46.778673999933,-117.08416999999837,0.0,1,1.4734877708136445,0.09169372916221619,0.135109588580824,
1999,Fall,9,46.778673999933,-117.08416999999837,1.0,2,1.3298123600358887,0.10673999041318893,0.14194415856157092,
1999,Fall,9,46.778673999933,-117.08416999999837,2.0,3,1.419344785681107,0.1164775937795639,0.16532186537970617,
1999,Fall,9,46.778673999933,-117.08416999999837,3.0,4,1.4562706453032024,0.1205461174249649,0.17554777221124926,
1999,Fall,9,46.778673999933,-117.08416999999837,4.0,5,1.455243607093288,0.1386147141456604,0.20171817660953584,
1999,Fall,11,46.778657999932655,-117.08333399999815,0.0,1,1.435203328833452,0.10542992502450943,0.1513133793538372,
1999,Fall,11,46.778657999932655,-117.08333399999815,1.0,2,1.3714032227741584,0.11525804549455643,0.15806525504188526,
1999,Fall,11,46.778657999932655,-117.08333399999815,2.0,3,1.4942825919097324,0.11382792890071869,0.17009109262948266,
1999,Fall,11,46.778657999932655,-117.08333399999815,3.0,4,1.6700249615108425,0.12936362624168396,0.21604048493517125,
1999,Fall,11,46.778657999932655,-117.08333399999815,4.0,5,1.679337625562176,0.15964193642139435,0.26809271045005223,
1999,Fall,13,46.778763999934995,-117.08249800000364,0.0,1,1.3512400518022354,0.09617415815591812,0.1299543744486392,
1999,Fall,13,46.778763999934995,-117.08249800000364,1.0,2,1.4450530405916546,0.10865425318479538,0.15701115893790404,
1999,Fall,13,46.778763999934995,-117.08249800000364,2.0,3,1.530740476343332,0.12516845762729645,0.19160042445156794,
1999,Fall,13,46.778763999934995,-117.08249800000364,3.0,4,1.6184238462009453,0.1294778287410736,0.20955000558887565,
1999,Fall,13,46.778763999934995,-117.08249800000364,4.0,5,1.6381616441713662,0.1362493634223938,0.22319848120133062,
1999,Fall,15,46.778706999934904,-117.08124400000357,0.0,1,1.2604917249672811,0.12635093927383423,0.15926431339651148,
1999,Fall,15,46.778706999934904,-117.08124400000357,1.0,2,1.3781235393969054,0.08685939013957977,0.11970297016901434,
1999,Fall,15,46.778706999934904,-117.08124400000357,2.0,3,1.5974716737451455,0.16872425377368927,0.2695322160772561,
1999,Fall,15,46.778706999934904,-117.08124400000357,3.0,4,1.6561737836623363,0.22418904304504395,0.3712960156755488,
1999,Fall,15,46.778706999934904,-117.08124400000357,4.0,5,1.6705351860814843,0.22714181244373322,0.37944838991757746,
1999,Fall,17,46.77879699993179,-117.07998999999813,0.0,1,1.3325337995555395,0.1047792062163353,0.13962183377386667,
1999,Fall,17,46.77879699993179,-117.07998999999813,1.0,2,1.0744432776246926,0.13556750118732452,0.14565959031509837,
1999,Fall,17,46.77879699993179,-117.07998999999813,2.0,3,1.1727946356973815,0.10739830136299133,0.12595615172152702,
1999,Fall,17,46.77879699993179,-117.07998999999813,3.0,4,1.512193702009989,0.09273463487625122,0.14023273081806298,
1999,Fall,17,46.77879699993179,-117.07998999999813,4.0,5,1.512193702009989,0.1679631918668747,0.2539928809105833,
1999,Fall,19,46.778826619173316,-117.08846626321173,0.0,1,1.5629536678082299,0.08920909464359283,0.13942968167505493,
1999,Fall,19,46.778826619173316,-117.08846626321173,1.0,2,1.5390172430942117,0.11777125298976898,0.1812519890920652,
1999,Fall,19,46.778826619173316,-117.08846626321173,2.0,3,1.6203084553282192,0.12003720551729202,0.19449729905363944,
1999,Fall,19,46.778826619173316,-117.08846626321173,3.0,4,1.6416269791818179,0.17033696174621582,0.27962975195444917,
1999,Fall,19,46.778826619173316,-117.08846626321173,4.0,5,1.6312658415783965,0.1891832798719406,0.3086082222528625,
