Year,Season,ID2,Latitude,Longitude,TopDepth,BottomDepth,BulkDensity,GravimetricWaterContent,VolumetricWaterContent,Nitrate,Ammonia,Notes
1999,Fall,3,46.77879099993472,-117.08667799999922,0,1,1.4100577667067484,0.08148285746574402,0.11489553602303132,7.6997659190712815,,
1999,Fall,3,46.77879099993472,-117.08667799999922,1,2,1.4387603334093544,0.12877683341503143,0.18527899977961151,0.8108517899505215,,
1999,Fall,3,46.77879099993472,-117.08667799999922,2,3,1.6193864789405759,0.13845476508140564,0.22421177451772206,0.11105186061995692,,
1999,Fall,3,46.77879099993472,-117.08667799999922,3,4,1.6400485580244677,0.14553774893283844,0.2386889752754287,0.011185350461150037,,
1999,Fall,5,46.77866599993601,-117.08584199999686,0,1,1.3749277326504725,0.10247579216957092,0.1408968085792692,9.12653097502077,,
1999,Fall,5,46.77866599993601,-117.08584199999686,1,2,1.3305880261003118,0.1113099455833435,0.14810768077907416,0.2142659180740638,,
1999,Fall,5,46.77866599993601,-117.08584199999686,2,3,1.3522161516046738,0.11144646257162094,0.1506997067285516,0.21119494569795458,,
1999,Fall,5,46.77866599993601,-117.08584199999686,3,4,1.4994731668045351,0.14642329514026642,0.21955780205793038,0.41101168808976113,,
1999,Fall,7,46.77863199993578,-117.08500599999628,0,1,1.4429653954494086,0.08893579989671707,0.12833128166757582,6.004198203207341,,
1999,Fall,7,46.77863199993578,-117.08500599999628,1,2,1.2767874077873471,0.1030450314283371,0.13156659856275224,1.9087080150875866,,
1999,Fall,7,46.77863199993578,-117.08500599999628,2,3,1.4005332996664317,0.10891792923212051,0.15254318682029663,0.21141059462273923,,
1999,Fall,7,46.77863199993578,-117.08500599999628,3,4,1.4847092805521311,0.12097402662038803,0.17961126002905067,0.21096142279170454,,
1999,Fall,9,46.778673999933,-117.08416999999837,0,1,1.4734877708136445,0.09169372916221619,0.135109588580824,12.932093655418598,,
1999,Fall,9,46.778673999933,-117.08416999999837,1,2,1.3298123600358887,0.10673999041318893,0.14194415856157092,1.309672050092037,,
1999,Fall,9,46.778673999933,-117.08416999999837,2,3,1.419344785681107,0.1164775937795639,0.16532186537970617,0.01121604043600619,,
1999,Fall,9,46.778673999933,-117.08416999999837,3,4,1.4562706453032024,0.1205461174249649,0.17554777221124926,0.1110277268614496,,
1999,Fall,11,46.778657999932655,-117.08333399999815,0,1,1.435203328833452,0.10542992502450943,0.1513133793538372,14.66014260569299,,
1999,Fall,11,46.778657999932655,-117.08333399999815,1,2,1.3714032227741584,0.11525804549455643,0.15806525504188526,0.9446669814094766,,
1999,Fall,11,46.778657999932655,-117.08333399999815,2,3,1.4942825919097324,0.11382792890071869,0.17009109262948266,0.04439751595933562,,
1999,Fall,11,46.778657999932655,-117.08333399999815,3,4,1.6700249615108425,0.12936362624168396,0.21604048493517125,0.0,,
1999,Fall,13,46.778763999934995,-117.08249800000364,0,1,1.3512400518022354,0.09617415815591812,0.1299543744486392,3.5407079346911057,,
1999,Fall,13,46.778763999934995,-117.08249800000364,1,2,1.4450530405916546,0.10865425318479538,0.15701115893790404,0.5448503997003127,,
1999,Fall,13,46.778763999934995,-117.08249800000364,2,3,1.530740476343332,0.12516845762729645,0.19160042445156794,0.0,,
1999,Fall,13,46.778763999934995,-117.08249800000364,3,4,1.6184238462009453,0.1294778287410736,0.20955000558887565,0.0,,
1999,Fall,15,46.778706999934904,-117.08124400000357,0,1,1.2604917249672811,0.12635093927383423,0.15926431339651148,0.6448767619186344,,
1999,Fall,15,46.778706999934904,-117.08124400000357,1,2,1.3781235393969054,0.08685939013957977,0.11970297016901434,0.0,,
1999,Fall,15,46.778706999934904,-117.08124400000357,2,3,1.5974716737451455,0.16872425377368927,0.2695322160772561,0.0,,
1999,Fall,15,46.778706999934904,-117.08124400000357,3,4,1.6561737836623363,0.22418904304504395,0.3712960156755488,0.04445915571511577,,
1999,Fall,17,46.77879699993179,-117.07998999999813,0,1,1.3325337995555395,0.1047792062163353,0.13962183377386667,4.246247161534474,,
1999,Fall,17,46.77879699993179,-117.07998999999813,1,2,1.0744432776246926,0.13556750118732452,0.14565959031509837,1.243569401585624,,
1999,Fall,17,46.77879699993179,-117.07998999999813,2,3,1.1727946356973815,0.10739830136299133,0.12595615172152702,0.0444272711054118,,
1999,Fall,17,46.77879699993179,-117.07998999999813,3,4,1.512193702009989,0.09273463487625122,0.14023273081806298,0.0,,
1999,Fall,19,46.778826619173316,-117.08846626321173,0,1,1.5629536678082299,0.08920909464359283,0.13942968167505493,7.937387205236232,,
1999,Fall,19,46.778826619173316,-117.08846626321173,1,2,1.5390172430942117,0.11777125298976898,0.1812519890920652,0.943701582046685,,
1999,Fall,19,46.778826619173316,-117.08846626321173,2,3,1.6203084553282192,0.12003720551729202,0.19449729905363944,0.0,,
1999,Fall,19,46.778826619173316,-117.08846626321173,3,4,1.6416269791818179,0.17033696174621582,0.27962975195444917,0.0,,
1999,Fall,21,46.778841999931366,-117.08764599999685,0,1,1.3318436615714033,0.09825223684310913,0.1308566188747072,2.8473729384038844,,
1999,Fall,21,46.778841999931366,-117.08764599999685,1,2,1.2820115637654226,0.12221531569957733,0.15668144799609993,0.24447127844477456,,
1999,Fall,21,46.778841999931366,-117.08764599999685,2,3,1.2661046489054082,0.155721977353096,0.19716031946349755,0.4437073130718592,,
1999,Fall,21,46.778841999931366,-117.08764599999685,3,4,1.3132812939193732,0.1939089596271515,0.254657009401705,0.0,,
1999,Fall,23,46.77900277872107,-117.08683096836631,0,1,1.4303801223454298,0.08968312293291092,0.12828095635309733,6.286307343113319,,
